"","EWA","EWK","EWO","EWC","EWQ","EWG","EWH","EWI","EWJ","EWM","EWW","EWN","EWS","EWP","EWD","EWL","EWY","EZU","EWU","EWZ","EWT","SPY","EZA","EPI","RSX","TUR","EIS","THD","PIN","NORW","EEM","VWO","AAXJ","ILF","AFK","FEZ","XLF","XLK","XLE","XLV","XLY","XLI","XLB","XLU","IYR","SMH","XBI","VTI","IVV","QQQ","IWV","GLD","SLV","USO","UNG","DBO","DBC","UGA","DBA","GSG","SOXX","FDN","TAN","ICLN","PBW","IBB","PNQI"
"2010-01-04",11.9863348007202,8.54251956939697,12.4025955200195,19.3805561065674,17.3913459777832,15.8817310333252,9.85998821258545,24.6605930328369,30.9161014556885,18.4453163146973,36.606761932373,15.4784727096558,12.5920076370239,26.4210052490234,14.4067497253418,16.1778259277344,38.6688003540039,25.0580310821533,18.1022834777832,39.7889099121094,14.3641681671143,85.5156631469727,31.6698570251465,18.9392108917236,19.0976791381836,37.6628036499023,42.4233589172363,28.2888221740723,15.4203262329102,10.2205114364624,30.7858467102051,27.931999206543,42.832347869873,26.5379180908203,18.9634914398193,26.1350479125977,9.04945945739746,18.8335475921631,35.3576927185059,24.2966117858887,24.7591648101807,21.1404209136963,24.3796691894531,18.1518898010254,27.2601928710938,12.0999603271484,17.5634632110596,43.4631462097168,85.6693420410156,40.4404029846191,51.4528045654297,109.800003051758,17.2299995422363,322.160003662109,1361.92004394531,24.6553993225098,22.0570259094238,37.4700012207031,23.7699565887451,32.7000007629395,14.0684852600098,25.534309387207,78.315544128418,16.2457332611084,41.4043579101562,26.7041568756104,5.2430567741394
"2010-01-05",12.021710395813,8.64590549468994,12.7095890045166,19.4885444641113,17.3458728790283,15.8054447174072,9.9520788192749,24.7101440429688,31.1017913818359,18.681360244751,36.4488525390625,15.4784727096558,12.6884574890137,26.5811405181885,14.4422903060913,16.120885848999,38.6844749450684,25.136173248291,18.2228927612305,39.8353080749512,14.3103284835815,85.7420196533203,31.9266777038574,19.055248260498,19.4962787628174,38.132755279541,42.6183700561523,28.236400604248,15.5629167556763,10.0921449661255,31.0093154907227,28.0242290496826,43.311840057373,26.5916938781738,19.0026836395264,26.0131950378418,9.21578884124756,18.809268951416,35.6462593078613,24.0583419799805,24.8499412536621,21.2150745391846,24.4584922790527,17.9357929229736,27.3256549835205,12.0318155288696,17.6311416625977,43.6299819946289,85.918098449707,40.4404029846191,51.5845832824707,109.699996948242,17.5100002288818,323.279998779297,1320.9599609375,24.8836116790771,22.0832424163818,37.810001373291,23.9213581085205,33.0299987792969,14.0459032058716,25.5143451690674,81.6434020996094,16.6805725097656,41.8785972595215,26.5176620483398,5.26103973388672
"2010-01-06",12.0671901702881,8.69760131835938,12.6788930892944,19.6397285461426,17.4368209838867,15.9025373458862,9.9827766418457,24.7844581604004,31.2255687713623,18.7150840759277,36.8938751220703,15.4857912063599,12.6991748809814,26.666540145874,14.5370740890503,16.15647315979,39.2408065795898,25.2403678894043,18.2338542938232,40.0981941223145,14.3964691162109,85.802375793457,31.9376068115234,19.2458839416504,19.4786968231201,38.5422782897949,42.8883857727051,28.2888221740723,15.6511926651001,10.3305416107178,31.0741806030273,28.1955089569092,43.2743835449219,26.6508502960205,19.2835750579834,25.9766407012939,9.2342700958252,18.5988368988037,36.0731430053711,24.3043003082275,24.8829555511475,21.2598609924316,24.8741359710693,18.0409183502197,27.3137645721436,12.0020027160645,17.8663921356201,43.6906661987305,85.985969543457,40.1964492797852,51.6853485107422,111.51000213623,17.8600006103516,327.760009765625,1386.23999023438,25.1908168792725,22.4764938354492,37.9000015258789,24.0549468994141,33.2700004577637,14.0035552978516,25.3047218322754,81.5694427490234,16.8231391906738,42.4987487792969,26.7202377319336,5.20509243011475
"2010-01-07",12.0116052627563,8.63944435119629,12.6973104476929,19.5749340057373,17.3588638305664,15.7915678024292,9.9827766418457,24.8959312438965,30.9470443725586,18.7319450378418,36.9512977600098,15.3832883834839,12.6241579055786,26.5277652740479,14.4422903060913,16.1066493988037,38.4415702819824,25.1231555938721,18.1680679321289,39.654899597168,14.2887926101685,86.1645736694336,31.2928409576416,19.229305267334,19.4611110687256,39.240478515625,42.7533721923828,28.4461002349854,15.6376104354858,10.3977813720703,30.8939800262451,27.9517631530762,43.0646018981934,26.5916938781738,19.2705116271973,25.8974571228027,9.43140029907227,18.5259971618652,36.0190238952637,24.3888454437256,25.0892868041992,21.4912719726562,24.6806468963623,17.9591598510742,27.5577392578125,11.9083023071289,17.8663921356201,43.8726768493652,86.3628311157227,40.2226028442383,51.8636360168457,110.819999694824,17.8899993896484,325.760009765625,1358.07995605469,25.0152702331543,22.1968460083008,37.8899993896484,23.867919921875,33.1100006103516,13.8934421539307,25.0751342773438,81.9392013549805,16.8587856292725,42.3893051147461,26.7073726654053,5.14315032958984
"2010-01-08",12.153094291687,8.67821502685547,12.6973104476929,19.6757221221924,17.5992374420166,15.8123750686646,9.98891448974609,25.0693264007568,31.3184013366699,18.7150840759277,36.8508186340332,15.559009552002,12.6455936431885,26.666540145874,14.6081609725952,16.3344078063965,39.0057334899902,25.3380546569824,18.2667484283447,39.9332313537598,14.3641681671143,86.451301574707,31.7408981323242,19.1712856292725,19.5431728363037,39.2740516662598,43.4134368896484,28.6295757293701,15.6036567687988,10.4527978897095,31.1390628814697,28.1230545043945,43.2369232177734,26.7906608581543,19.3031730651855,26.0984954833984,9.37595653533936,18.6473903656006,36.2534866333008,24.4272861480713,25.0810317993164,21.8346519470215,25.0246257781982,17.9416313171387,27.3732566833496,12.1468105316162,17.9469547271729,44.016773223877,86.6568450927734,40.5536460876465,52.0496635437012,111.370002746582,18.1499996185303,327.440002441406,1332.47998046875,25.1381511688232,22.179370880127,38.3800010681152,23.9391689300537,33.1800003051758,14.1023683547974,25.2348480224609,83.4182586669922,17.0084819793701,42.9000129699707,26.9195919036865,5.17711925506592
"2010-01-11",12.2743759155273,8.74283504486084,13.127103805542,19.6181335449219,17.7486610412598,16.0620498657227,10.0011940002441,25.2798938751221,31.5969390869141,18.8331089019775,36.8364562988281,15.6102638244629,12.6991748809814,26.6985645294189,14.8510322570801,16.4055805206299,39.2486419677734,25.5008506774902,18.4202518463135,39.8353080749512,14.3964691162109,86.5720520019531,31.522331237793,19.303897857666,19.8128185272217,38.9182357788086,43.2259292602539,28.6492366790771,15.6240272521973,10.6117267608643,31.0741806030273,28.1625690460205,43.4392051696777,26.6347160339355,19.4730129241943,26.2568817138672,9.38211727142334,18.5745544433594,36.2054023742676,24.5656356811523,25.0315170288086,22.0735301971436,24.8884735107422,18.1285266876221,27.5041828155518,12.1042184829712,18.0436382293701,44.077449798584,86.7774353027344,40.3881225585938,52.0961608886719,112.849998474121,18.2099990844727,324.320007324219,1271.0400390625,24.9977169036865,22.1094570159912,37.8699989318848,23.8322982788086,33.0200004577637,14.060019493103,25.1050777435303,83.5661544799805,17.1154022216797,42.9364891052246,27.0610733032227,5.15913581848145
"2010-01-12",11.8701105117798,8.69760131835938,12.9429092407227,19.2725639343262,17.417329788208,15.784631729126,9.89682483673096,24.8711528778076,31.8135719299316,18.7656631469727,36.4273376464844,15.4345388412476,12.4955625534058,26.2875747680664,14.5903873443604,16.1849403381348,38.7079772949219,25.1296634674072,18.2886772155762,39.2322044372559,14.2026472091675,85.7646331787109,30.9103488922119,18.9392108917236,19.3849086761475,38.4684295654297,42.1458168029785,28.5640468597412,15.4678583145142,10.5383749008179,30.5768241882324,27.7541217803955,43.0196495056152,26.2206478118896,19.4011611938477,25.799976348877,9.24659538269043,18.3722171783447,35.6823463439941,24.3888454437256,24.7096405029297,21.8943672180176,24.4155025482178,18.0525989532471,27.0400199890137,11.674054145813,17.8148326873779,43.6224136352539,85.9784240722656,39.8828430175781,51.6078224182129,110.48999786377,17.9099998474121,317.040008544922,1292.80004882812,24.4271907806396,21.6375579833984,37.1199989318848,23.3959083557129,32.2799987792969,13.5687665939331,24.6758460998535,80.6820068359375,16.6021595001221,41.8785972595215,26.9774723052979,5.04524326324463
"2010-01-13",12.0520324707031,8.79453086853027,13.0902633666992,19.466947555542,17.5667533874512,15.9094743728638,9.83542919158936,25.2303581237793,31.9992485046387,18.8499698638916,36.6785430908203,15.6468744277954,12.5491437911987,26.5437717437744,14.8391914367676,16.3699951171875,38.7706642150879,25.3119926452637,18.4202518463135,39.1188125610352,14.1918840408325,86.4890594482422,31.4458484649658,19.3121910095215,19.7893676757812,39.4351654052734,42.6708793640137,28.8196125030518,15.719090461731,10.532262802124,30.6705265045166,27.8661251068115,42.8847999572754,26.2959308624268,19.4795455932617,26.0436592102051,9.35131454467773,18.550271987915,35.8146133422852,24.7116832733154,24.9902515411377,21.9839458465576,24.7021503448486,18.2511749267578,27.5458393096924,11.8231239318848,18.0758609771729,44.0319442749023,86.6568450927734,40.3794097900391,52.0574188232422,111.540000915527,18.2700004577637,313.679992675781,1326.07995605469,24.1814289093018,21.6550350189209,36.560001373291,23.6898002624512,32.2599983215332,13.7268695831299,24.8854713439941,80.9038696289062,16.7162170410156,41.6597099304199,27.2925834655762,5.14914512634277
"2010-01-14",12.2036228179932,8.79453086853027,13.2928800582886,19.5245399475098,17.5797462463379,15.9302749633789,9.7740364074707,25.3294429779053,32.4634552001953,18.917407989502,36.6426544189453,15.6834859848022,12.5920076370239,26.5704612731934,14.9221239089966,16.5123443603516,39.0057334899902,25.3640918731689,18.4750747680664,38.3919944763184,14.3103284835815,86.7229461669922,31.1617088317871,19.395076751709,20.0297012329102,39.2136383056641,42.5283660888672,29.1013813018799,15.8345222473145,10.3977813720703,30.5912284851074,27.8002510070801,42.922248840332,25.9356365203857,19.5318088531494,26.1594085693359,9.39443874359131,18.5988368988037,35.916820526123,24.9345836639404,24.9902515411377,21.9839458465576,24.401159286499,18.1694087982178,27.4506130218506,11.8401575088501,18.0887565612793,44.1077651977539,86.9130859375,40.4142646789551,52.1814231872559,112.029998779297,18.3099994659424,312.480010986328,1291.52001953125,24.1550979614258,21.5414295196533,36.7400016784668,23.4671535491943,32.2000007629395,13.7014598846436,24.8655052185059,78.0197296142578,16.2671222686768,40.7477188110352,27.3665447235107,5.16912651062012
"2010-01-15",11.9459085464478,8.61360168457031,13.0595655441284,19.2365665435791,17.228931427002,15.5627098083496,9.64510440826416,24.6853694915771,32.4015693664551,18.7150840759277,35.9535865783691,15.4198942184448,12.4312610626221,25.9246139526367,14.6140823364258,16.2276458740234,38.7079772949219,24.7128982543945,18.2996406555176,37.9074668884277,14.2349557876587,85.7495422363281,30.7628307342529,19.0303821563721,19.8186798095703,38.6832618713379,42.3858528137207,28.7344264984131,15.5153875350952,10.373330116272,30.2380428314209,27.4708480834961,42.6000862121582,25.5323314666748,19.2705116271973,25.361349105835,9.20347023010254,18.33984375,35.628231048584,24.7654781341553,24.7426643371582,21.7002868652344,24.2220096588135,18.0525989532471,27.20068359375,11.4696197509766,17.7729320526123,43.6072387695312,85.9331741333008,39.9438095092773,51.5380554199219,110.860000610352,18.0499992370605,307.200012207031,1310.71997070312,23.8040046691895,21.2967395782471,36.310001373291,23.2445049285889,31.7700004577637,13.2553787231445,24.6758460998535,74.3960571289062,15.8394145965576,39.7627830505371,27.0771446228027,5.08720350265503
