"Date","EWA","EWK","EWO","EWC","EWQ","EWG","EWH","EWI","EWJ","EWM","EWW","EWN","EWS","EWP","EWD","EWL","EWY","EZU","EWU","EWZ","EWT","SPY","EZA","EPI","RSX","TUR","EIS","THD","PIN","NORW","EEM","VWO","AAXJ","ILF","AFK","FEZ","XLF","XLK","XLE","XLV","XLY","XLI","XLB","XLU","IYR","SMH","XBI","VTI","IVV","QQQ","IWV","GLD","SLV","USO","UNG","DBO","DBC","UGA","DBA","GSG","SOXX","FDN","TAN","ICLN","PBW","IBB","XBI.1","PNQI"
2010-01-04,11.9863367080688,8.54252052307129,12.4025926589966,19.3805522918701,17.3913459777832,15.8817253112793,9.85998630523682,24.6605949401855,30.9160976409912,18.4453125,36.6067695617676,15.4784717559814,12.5920085906982,26.421012878418,14.4067516326904,16.1778297424316,38.6688003540039,25.0580291748047,18.1022796630859,39.7889175415039,14.8320608139038,85.5156631469727,31.6698703765869,18.9392032623291,19.0976791381836,37.6628036499023,42.4233474731445,28.2888259887695,15.4203300476074,10.220513343811,30.7858543395996,27.9319972991943,42.8323593139648,26.5379161834717,18.9634914398193,26.1350440979004,9.04946231842041,18.8335456848145,35.3576927185059,24.2966156005859,24.759162902832,21.1404247283936,24.3796710968018,18.1518840789795,27.2602024078369,12.0999574661255,17.5634613037109,43.4631538391113,85.6693496704102,40.4403915405273,51.4528007507324,109.800003051758,17.2299995422363,322.160003662109,1361.92004394531,24.6554012298584,22.0570259094238,37.4700012207031,23.7699546813965,32.7000007629395,14.0684900283813,25.534309387207,78.3155364990234,16.245735168457,41.4043617248535,26.7041606903076,17.5634613037109,5.2430567741394
2010-01-05,12.0217084884644,8.64590740203857,12.7095937728882,19.4885444641113,17.3458690643311,15.8054437637329,9.95207977294922,24.7101402282715,31.1017837524414,18.6813564300537,36.4488525390625,15.4784717559814,12.6884574890137,26.5811386108398,14.4422941207886,16.1208839416504,38.6844711303711,25.1361770629883,18.2228908538818,39.8352966308594,14.7764663696289,85.7420043945312,31.9266700744629,19.0552444458008,19.496280670166,38.132755279541,42.6183700561523,28.236400604248,15.5629177093506,10.0921440124512,31.0093154907227,28.0242366790771,43.3118362426758,26.5916957855225,19.0026874542236,26.0131988525391,9.21579074859619,18.8092632293701,35.6462593078613,24.0583400726318,24.849946975708,21.2150707244873,24.4584865570068,17.9357929229736,27.3256492614746,12.0318155288696,17.6311416625977,43.6299819946289,85.9181137084961,40.4403915405273,51.584587097168,109.699996948242,17.5100002288818,323.279998779297,1320.9599609375,24.8836097717285,22.0832424163818,37.810001373291,23.9213562011719,33.0299987792969,14.045901298523,25.5143451690674,81.6434020996094,16.6805744171143,41.8786010742188,26.5176620483398,17.6311378479004,5.26103925704956
2010-01-06,12.0671911239624,8.69760131835938,12.6788911819458,19.6397323608398,17.4368228912354,15.9025344848633,9.9827766418457,24.7844619750977,31.225564956665,18.7150821685791,36.8938827514648,15.4857931137085,12.6991767883301,26.6665287017822,14.5370759963989,16.15647315979,39.2408065795898,25.2403678894043,18.2338562011719,40.0981903076172,14.8654193878174,85.8023910522461,31.9376087188721,19.2458801269531,19.4786949157715,38.5422744750977,42.8883934020996,28.2888259887695,15.6511926651001,10.3305416107178,31.0741863250732,28.1955127716064,43.2743873596191,26.6508502960205,19.283576965332,25.9766483306885,9.23427295684814,18.5988349914551,36.073127746582,24.3043022155762,24.8829612731934,21.2598571777344,24.8741416931152,18.0409164428711,27.3137550354004,12.0020036697388,17.8663997650146,43.6906623840332,85.9859390258789,40.1964683532715,51.6853332519531,111.51000213623,17.8600006103516,327.760009765625,1386.23999023438,25.1908149719238,22.4764919281006,37.9000015258789,24.0549449920654,33.2700004577637,14.0035543441772,25.3047218322754,81.5694427490234,16.8231391906738,42.4987373352051,26.7202339172363,17.8663940429688,5.20509195327759
2010-01-07,12.011604309082,8.63944816589355,12.6973123550415,19.5749378204346,17.3588638305664,15.7915716171265,9.9827766418457,24.8959312438965,30.9470462799072,18.7319393157959,36.9513053894043,15.3832893371582,12.6241550445557,26.5277614593506,14.4422941207886,16.1066513061523,38.4415702819824,25.1231536865234,18.1680679321289,39.6548957824707,14.7542324066162,86.1645736694336,31.2928447723389,19.2293071746826,19.4611110687256,39.240478515625,42.7533760070801,28.4460983276367,15.6376075744629,10.3977842330933,30.8939876556396,27.9517669677734,43.0646018981934,26.5916957855225,19.2705116271973,25.8974418640137,9.4314022064209,18.5259952545166,36.0190277099609,24.3888511657715,25.0892810821533,21.4912624359131,24.6806488037109,17.959156036377,27.5577259063721,11.9083023071289,17.8663997650146,43.8726768493652,86.3628158569336,40.222599029541,51.8636360168457,110.819999694824,17.8899993896484,325.760009765625,1358.07995605469,25.0152702331543,22.1968479156494,37.8899993896484,23.8679218292236,33.1100006103516,13.8934478759766,25.0751323699951,81.939208984375,16.8587799072266,42.3893013000488,26.707368850708,17.8663940429688,5.143150806427
2010-01-08,12.1530952453613,8.67821598052979,12.6973123550415,19.6757316589355,17.5992393493652,15.8123788833618,9.98891639709473,25.0693359375,31.318416595459,18.7150821685791,36.8508186340332,15.5590124130249,12.6455917358398,26.6665287017822,14.6081619262695,16.3344097137451,39.0057334899902,25.3380489349365,18.2667503356934,39.9332580566406,14.8320608139038,86.4513244628906,31.7409000396729,19.1712779998779,19.5431728363037,39.2740478515625,43.4134292602539,28.6295776367188,15.6036643981934,10.4527969360352,31.1390571594238,28.1230373382568,43.2369194030762,26.7906551361084,19.3031711578369,26.0984897613525,9.37595748901367,18.6473979949951,36.2534942626953,24.427282333374,25.0810279846191,21.8346519470215,25.0246429443359,17.9416332244873,27.3732795715332,12.1468095779419,17.9469604492188,44.0167541503906,86.6568222045898,40.5536346435547,52.0496368408203,111.370002746582,18.1499996185303,327.440002441406,1332.47998046875,25.1381511688232,22.1793689727783,38.3800010681152,23.9391670227051,33.1800003051758,14.1023664474487,25.2348461151123,83.4182586669922,17.0084800720215,42.9000053405762,26.9195938110352,17.9469585418701,5.17711877822876
2010-01-11,12.2743701934814,8.74283409118652,13.1271028518677,19.6181354522705,17.7486572265625,16.0620441436768,10.0011959075928,25.2798957824707,31.5969371795654,18.833101272583,36.8364562988281,15.6102638244629,12.6991767883301,26.6985645294189,14.851037979126,16.4055824279785,39.2486343383789,25.5008487701416,18.4202499389648,39.8352966308594,14.8654193878174,86.5720443725586,31.5223407745361,19.303897857666,19.8128128051758,38.9182319641113,43.2259140014648,28.6492347717285,15.6240272521973,10.6117286682129,31.0741863250732,28.1625709533691,43.4391975402832,26.6347160339355,19.4730167388916,26.2568798065186,9.38212299346924,18.574556350708,36.2053985595703,24.5656356811523,25.0315074920654,22.0735263824463,24.8884677886963,18.1285228729248,27.5041790008545,12.1042184829712,18.0436344146729,44.0774383544922,86.7774429321289,40.388126373291,52.0961570739746,112.849998474121,18.2099990844727,324.320007324219,1271.0400390625,24.9977149963379,22.1094570159912,37.8699989318848,23.8322982788086,33.0200004577637,14.0600156784058,25.1050777435303,83.566162109375,17.1154041290283,42.9364891052246,27.0610694885254,18.0436420440674,5.15913581848145
2010-01-12,11.8701133728027,8.69760131835938,12.942907333374,19.2725658416748,17.4173316955566,15.7846345901489,9.89682579040527,24.8711585998535,31.8135662078857,18.7656631469727,36.4273338317871,15.4345426559448,12.4955587387085,26.2875747680664,14.5903844833374,16.184944152832,38.7079811096191,25.12965965271,18.2886772155762,39.2322082519531,14.6652851104736,85.7646408081055,30.9103622436523,18.9392032623291,19.3849086761475,38.4684257507324,42.1458282470703,28.5640525817871,15.4678592681885,10.5383758544922,30.5768184661865,27.7541313171387,43.0196533203125,26.2206478118896,19.4011573791504,25.7999858856201,9.24659252166748,18.3722229003906,35.6823272705078,24.3888511657715,24.7096385955811,21.8943748474121,24.4154987335205,18.052604675293,27.0400199890137,11.6740570068359,17.814826965332,43.6224098205566,85.978401184082,39.8828315734863,51.6078224182129,110.48999786377,17.9099998474121,317.040008544922,1292.80004882812,24.4271907806396,21.6375560760498,37.1199989318848,23.3959064483643,32.2799987792969,13.5687656402588,24.6758460998535,80.6820068359375,16.6021575927734,41.8786010742188,26.9774761199951,17.814826965332,5.04524278640747
2010-01-13,12.0520305633545,8.79452896118164,13.0902633666992,19.4669494628906,17.5667533874512,15.9094715118408,9.83543014526367,25.2303504943848,31.99924659729,18.8499622344971,36.6785507202148,15.646876335144,12.5491399765015,26.5437755584717,14.8391914367676,16.3699951171875,38.7706565856934,25.3119926452637,18.4202499389648,39.1188049316406,14.6541633605957,86.4890289306641,31.4458332061768,19.3121929168701,19.7893657684326,39.4351768493652,42.6708717346191,28.8196086883545,15.7190847396851,10.5322618484497,30.6705303192139,27.866117477417,42.8847961425781,26.295934677124,19.479549407959,26.0436668395996,9.35131740570068,18.550271987915,35.8146133422852,24.7116794586182,24.9902439117432,21.9839553833008,24.7021427154541,18.2511692047119,27.5458335876465,11.8231210708618,18.0758628845215,44.0319404602051,86.6568222045898,40.3794212341309,52.0573997497559,111.540000915527,18.2700004577637,313.679992675781,1326.07995605469,24.1814270019531,21.6550369262695,36.560001373291,23.6898021697998,32.2599983215332,13.7268724441528,24.8854713439941,80.9038696289062,16.7162132263184,41.6597099304199,27.2925891876221,18.0758571624756,5.14914512634277
2010-01-14,12.2036294937134,8.79452896118164,13.2928810119629,19.5245380401611,17.5797481536865,15.9302768707275,9.77403354644775,25.3294448852539,32.4634590148926,18.9174041748047,36.6426620483398,15.683482170105,12.5920085906982,26.5704593658447,14.9221248626709,16.5123424530029,39.0057334899902,25.3640956878662,18.4750728607178,38.3919868469238,14.7764663696289,86.7229614257812,31.1617088317871,19.395076751709,20.0297031402588,39.2136268615723,42.5283622741699,29.1013832092285,15.8345241546631,10.3977842330933,30.5912418365479,27.8002529144287,42.9222450256348,25.9356365203857,19.5318050384521,26.1594181060791,9.39443778991699,18.5988349914551,35.916820526123,24.9345798492432,24.9902439117432,21.9839553833008,24.4011650085449,18.1694030761719,27.4506301879883,11.8401575088501,18.0887565612793,44.1077728271484,86.9131317138672,40.4142532348633,52.1814308166504,112.029998779297,18.3099994659424,312.480010986328,1291.52001953125,24.1550979614258,21.5414295196533,36.7400016784668,23.4671535491943,32.2000007629395,13.7014570236206,24.8655071258545,78.0197219848633,16.2671146392822,40.7477226257324,27.3665351867676,18.0887489318848,5.16912603378296
2010-01-15,11.9459114074707,8.61359882354736,13.0595626831055,19.2365684509277,17.2289371490479,15.5627059936523,9.64510536193848,24.6853675842285,32.4015655517578,18.7150821685791,35.9535942077637,15.4198980331421,12.4312629699707,25.9246158599854,14.614086151123,16.2276458740234,38.7079811096191,24.7128982543945,18.2996387481689,37.9074630737305,14.698637008667,85.7495422363281,30.7628307342529,19.030387878418,19.8186798095703,38.6832656860352,42.3858642578125,28.7344207763672,15.5153856277466,10.3733310699463,30.2380390167236,27.4708614349365,42.6001014709473,25.5323352813721,19.2705116271973,25.3613376617432,9.20347118377686,18.3398494720459,35.628231048584,24.7654838562012,24.7426528930664,21.7002868652344,24.2220153808594,18.052604675293,27.2006855010986,11.4696207046509,17.7729358673096,43.6072387695312,85.9331741333008,39.9438209533691,51.5380668640137,110.860000610352,18.0499992370605,307.200012207031,1310.71997070312,23.8040046691895,21.2967414855957,36.310001373291,23.2445068359375,31.7700004577637,13.2553787231445,24.6758460998535,74.3960571289062,15.839412689209,39.7627716064453,27.0771389007568,17.7729339599609,5.08720350265503
